Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-07-02,20.9336,21.1037,20.8475,20.9336,6149.3626398845
2019-07-03,20.7634,20.9336,20.5913,20.7634,2786.985721785
2019-07-04,20.7634,21.1898,20.6775,21.1898,10907.324750499
2019-07-05,20.8475,21.1898,20.5913,21.1037,27843.703072563
2019-07-08,21.1037,21.1898,20.9336,21.1898,1445.8011514666
2019-07-09,21.1898,21.1898,21.1898,21.1898,233.29497596023
2019-07-10,21.1898,21.1898,21.1898,21.1898,865.17912609468
2019-07-11,21.1898,21.1898,21.1898,21.1898,742.77772615142
2019-07-12,21.1898,21.1898,20.9336,20.9336,2826.7400226213
2019-07-15,20.9336,21.0196,20.9336,20.9336,2792.2165508424
2019-07-16,20.9336,20.9336,20.7634,20.9336,1184.2596985963
2019-07-17,20.9336,20.9336,20.6775,20.9336,961.42638075092
2019-07-18,20.8475,20.8475,20.0799,20.5064,2700.1539594321
2019-07-19,20.7634,20.7634,20.5064,20.7634,2453.2588279226
2019-07-22,20.4203,20.6775,20.4203,20.6775,2834.0631833017
2019-07-23,20.5064,20.6775,20.5064,20.6775,6761.3696396008
2019-07-24,20.5913,20.5913,20.5064,20.5913,6610.7217627476
2019-07-25,20.6775,21.0196,20.3362,20.7634,3155.2360874263
2019-07-26,20.7634,20.7634,20.2501,20.4203,2654.122663727
2019-07-29,20.7634,20.7634,20.3362,20.4203,3629.1492000271
2019-07-30,20.4203,20.4203,19.6527,20.2501,14407.795555714
2019-07-31,20.0799,20.0799,19.908,20.0799,13860.65083631
2019-08-01,20.0799,20.0799,19.3105,19.5667,11449.238640847
2019-08-02,19.5667,20.0799,19.3105,19.6527,1234.4756575474
2019-08-05,19.6527,20.5064,19.6527,20.4203,1203.090683203
2019-08-06,19.9949,20.0799,19.2244,19.2244,4843.7477071564
2019-08-07,20.4203,20.4203,18.7982,19.0543,14528.104624034
2019-08-08,19.6527,19.6527,18.9683,19.0543,2869.632820892
2019-08-09,18.7982,19.9949,18.7982,19.6527,1362.1078865481
2019-08-12,20.0799,20.1651,20.0799,20.0799,427.88181689567
2019-08-13,19.8228,20.0799,19.8228,20.0799,1787.8973718208
2019-08-14,19.6527,19.6527,19.5667,19.6527,3453.3933436983
2019-08-19,19.5667,19.5667,19.4815,19.4815,2983.6648943434
2019-08-20,19.4815,19.6527,19.3105,19.6527,1459.4013070158
2019-08-21,19.6527,19.9949,19.6527,19.6527,472.86694678935
2019-08-22,19.3966,19.908,18.9683,19.6527,2225.1946810198
2019-08-23,19.908,19.908,19.908,19.908,1053.4889721612
2019-08-26,19.6527,19.6527,19.3105,19.6527,1199.9521857686
2019-08-27,19.3105,20.3362,19.3105,19.4815,2469.9974809063
2019-08-28,19.6527,19.9949,19.5667,19.9949,862.04062866023
2019-08-29,19.9949,20.2501,19.9949,20.2501,784.62435861065
2019-08-30,20.0799,20.0799,20.0799,20.0799,2224.1485152083
2019-09-02,19.4815,19.9949,19.4815,19.908,860.99446284875
2019-09-03,19.9949,20.0799,19.9949,19.9949,540.86772453561
2019-09-04,19.7378,19.908,19.7378,19.908,74.277772615142
2019-09-06,19.5667,20.0799,19.5667,20.0799,94.154923033278
2019-09-09,19.6527,20.5064,19.6527,20.5064,652.80746636406
2019-09-10,20.2501,20.2501,19.4815,19.4815,2863.3558260231
2019-09-11,19.3966,19.3966,18.37,19.0543,39810.793790093
2019-09-12,19.0543,19.8228,18.37,18.8833,68162.933447036
2019-09-13,19.1395,19.4815,18.8833,18.8833,3741.0889418556
2019-09-16,18.9683,19.3105,18.9683,19.3105,678.96161165108
2019-09-17,19.3105,19.3966,19.2244,19.3966,404.8661690431
2019-09-18,19.3105,19.3966,19.3105,19.3105,352.55787846905
2019-09-19,19.1395,19.4815,19.1395,19.3105,572.25269888003
2019-09-20,19.2244,19.6527,19.2244,19.6527,1217.7370045637
2019-09-23,19.6527,19.6527,19.5667,19.5667,1411.2776796877
2019-09-24,19.1395,19.4815,19.1395,19.2244,503.2057553223
2019-09-25,19.3966,19.3966,19.2244,19.2244,6715.3383438957
2019-09-26,19.5667,19.5667,18.7982,18.7982,21699.571261736
2019-09-27,19.3966,19.3966,18.541,18.7982,44082.288798369
2019-09-30,18.7121,19.1395,18.7121,19.1395,1358.9693891136
2019-10-01,19.1395,19.1395,19.0543,19.0543,636.06881338037
2019-10-02,18.7121,18.8833,18.7121,18.8833,1271.0914609493
2019-10-03,18.8833,18.9683,18.4559,18.9683,41450.135616683
2019-10-04,18.9683,18.9683,18.7982,18.7982,2601.8143731529
2019-10-07,19.0543,19.0543,18.9683,19.0543,2089.1931255273
2019-10-08,19.2244,19.3105,19.2244,19.3105,3472.224328305
2019-10-09,19.0543,19.3105,18.9683,19.3105,531.45223223228
2019-10-10,19.3105,19.4815,19.0543,19.3966,989.6728576609
2019-10-11,19.5667,19.5667,19.5667,19.5667,74.277772615142
2019-10-14,19.5667,19.6527,19.3966,19.3966,1817.1900145423
2019-10-15,19.1395,19.1395,18.7121,18.7121,15405.837739867
2019-10-16,18.7121,18.9683,18.4559,18.7982,3847.7978546266
2019-10-17,18.7982,18.7982,18.7982,18.7982,3246.2525130251
2019-10-18,18.9683,18.9683,18.37,18.541,11018.218326516
2019-10-21,18.541,18.7121,17.9436,18.1138,18512.950199965
2019-10-22,18.4559,18.4559,18.1998,18.4559,1346.4153993759
2019-10-23,18.541,18.541,18.1998,18.2839,5530.0324794879
2019-10-24,18.2839,18.541,18.1998,18.4559,2313.0726091842
2019-10-25,18.4559,18.4559,17.9436,17.9436,7141.1278291684
2019-10-28,18.1998,18.2839,17.9436,17.9436,1321.3074199003
2019-10-29,17.9436,17.9436,17.9436,17.9436,1663.4036402546
2019-10-30,17.9436,18.1138,17.9436,17.9436,1227.1524968671
2019-10-31,17.9436,18.1998,17.9436,18.1138,1955.2839016577
2019-11-04,18.1138,18.1138,17.7715,17.9436,2410.3660296519
2019-11-05,17.9436,18.1998,17.2602,17.9436,5048.7962062067
2019-11-06,18.0277,18.1998,17.9436,18.1138,1976.2072178874
2019-11-07,17.9436,18.1998,17.9436,17.9436,3796.5357298641
2019-11-08,18.0277,18.0277,17.8595,17.8595,3649.0263504453
2019-11-12,17.9436,18.1998,17.7715,17.9436,1601.6798573772
2019-11-13,18.0277,18.1138,17.8595,17.9436,3045.3886772208
2019-11-14,17.9436,18.0277,17.8595,17.9436,2260.7643186102
2019-11-15,18.37,18.37,17.7715,17.8595,4400.1734030885
2019-11-18,18.0277,18.1138,17.7715,18.1138,64755.571399043
2019-11-19,17.9436,18.1138,17.6023,17.7715,6006.0379237117
2019-11-20,17.9436,17.9436,17.7715,17.9436,99599.169916225
2019-11-21,17.9436,18.1998,17.9436,18.1998,2615.4145287022
2019-11-22,18.1138,18.7121,18.1138,18.1998,2717.9387782273
2019-11-25,18.37,18.37,18.1998,18.1998,1240.7526524163
2019-11-26,18.4559,18.7982,18.2839,18.7982,2713.7541149814
2019-11-27,18.7982,18.7982,18.1138,18.2839,3723.3041230604
2019-11-28,18.1998,18.1998,18.1138,18.1998,1102.6587653008
2019-11-29,18.1998,18.4559,18.1138,18.1998,5994.5300997854
2019-12-02,18.37,18.37,18.0277,18.1998,5218.2750676666
2019-12-03,18.1998,18.2839,18.1998,18.1998,5315.5684881343
2019-12-04,18.5478,18.5478,18.2858,18.3737,7276.0832188494
2019-12-05,18.4607,18.5478,18.3737,18.4607,14901.585818734
2019-12-06,18.5478,18.5478,18.3737,18.3737,2129.993592175
2019-12-09,18.4607,18.5478,18.4607,18.4607,825.4248252584
2019-12-10,18.4607,18.4607,18.4607,18.4607,2591.3527150381
2019-12-11,18.4607,18.4607,18.2858,18.2858,489.60559977305
2019-12-12,18.2858,18.5478,18.2858,18.5478,1007.4576764561
2019-12-13,18.3737,18.5478,18.3737,18.4607,3445.0240172065
2019-12-16,18.3737,18.7226,18.2858,18.5478,9250.1981051138
2019-12-17,18.5478,18.5478,18.1998,18.3737,10286.948424291
2019-12-18,18.5478,18.5478,18.4607,18.4607,1955.2839016577
2019-12-19,18.4607,18.4607,18.2858,18.2858,955.14938588203
2019-12-20,18.6347,18.6347,18.2858,18.3737,3203.3597147544
2019-12-23,18.3737,18.3737,18.2858,18.2858,1648.7573188938
2019-12-27,18.3737,18.3737,18.2858,18.2858,4564.421435491
2019-12-30,18.2858,18.3737,18.2858,18.2858,6281.1795321311
2020-01-02,18.4607,18.6347,18.2858,18.4607,2443.8433356193
2020-01-03,18.2858,18.2858,17.8519,18.0249,55680.082984447
2020-01-07,18.2858,18.2858,18.0249,18.2858,27559.145971841
2020-01-08,18.2858,18.2858,18.2858,18.2858,86901.855462281
2020-01-09,18.2858,18.2858,18.1998,18.2858,60718.417532538
2020-01-10,18.2858,18.4607,18.2858,18.2858,5096.9198335348
2020-01-13,18.2858,18.2858,18.1998,18.1998,2091.2854571503
2020-01-14,18.1998,18.9837,18.0249,18.8086,586109.16505309
2020-01-15,18.7226,18.9837,18.7226,18.9837,6228.8712415571
2020-01-16,18.9837,18.9837,18.7226,18.7226,2673.9998141451
2020-01-17,18.8086,18.8086,18.1128,18.6347,7298.0527008905
2020-01-20,18.6347,18.6347,18.2858,18.6347,10357.041533661
2020-01-21,18.6347,18.6347,18.2858,18.6347,7743.7193365814
2020-01-22,18.2858,18.5478,18.0249,18.0249,11269.298121271
2020-01-23,18.1998,18.1998,17.6769,18.0249,6284.3180295656
2020-01-24,18.0249,18.5478,18.0249,18.4607,72577.753171485
2020-01-27,18.4607,18.4607,18.0249,18.0249,31938.3960587
2020-01-28,18.1998,18.2858,18.0249,18.2858,2033.7463375188
2020-01-29,18.2858,18.2858,18.0249,18.0249,3528.717282125
2020-01-30,18.1998,18.1998,18.0249,18.0249,21166.02669788
2020-01-31,18.1128,18.4607,18.0249,18.3737,4568.6060987369
2020-02-03,18.2858,18.2858,18.1128,18.1998,703.02342531514
2020-02-04,18.2858,18.2858,18.0249,18.0249,2458.48965698
2020-02-05,18.2858,18.8966,18.1128,18.6347,5729.8501494807
2020-02-06,18.6347,18.8966,18.1998,18.1998,3677.2728273552
2020-02-07,18.3737,18.4607,18.1998,18.3737,3835.2438648889
2020-02-10,18.5478,18.5478,18.2858,18.2858,2643.6610056122
2020-02-11,18.4607,18.4607,18.2858,18.2858,2289.0107955201
2020-02-12,18.2858,18.3737,18.1128,18.2858,766.83953981548
2020-02-13,18.4607,18.6347,18.2858,18.6347,451.94363055973
2020-02-14,18.4607,18.4607,18.4607,18.4607,769.97803724992
2020-02-17,18.4607,18.4607,18.3737,18.4607,826.47099106989
2020-02-18,18.3737,18.4607,18.3737,18.4607,1428.0163326714
2020-02-19,18.2858,18.8966,18.2858,18.8966,3575.7947436416
2020-02-20,18.6347,18.8966,18.6347,18.7226,2652.030332104
2020-02-21,18.7226,18.8086,18.5478,18.8086,998.04218415275
2020-02-24,18.8086,18.8086,18.2858,18.2858,1397.6775241384
2020-02-25,18.2858,18.8086,18.0249,18.3737,9796.2966587068
2020-02-26,18.4607,18.6347,18.0249,18.2858,2653.0764979155
2020-02-27,18.1998,18.2858,17.7638,18.1128,4619.8682234995
2020-02-28,17.503,17.8519,16.5022,17.8519,11017.172160705
2020-03-02,17.59,18.0249,17.328,17.328,9193.7051512939
2020-03-03,18.2858,18.2858,17.4159,17.4159,6575.1521251572
2020-03-04,17.7638,17.7638,16.894,17.241,9581.8326673533
2020-03-05,17.4159,17.4159,16.7182,17.198,4240.110033932
2020-03-06,17.241,17.241,16.5022,16.5452,10238.824796963
2020-03-09,16.5022,16.5022,14.4116,14.5857,9343.3068623356
2020-03-10,14.8027,15.6744,14.8027,14.8027,13893.081976466
2020-03-11,15.2395,15.6744,14.4116,14.7166,9963.6831885438
2020-03-12,14.6296,14.6296,12.1912,13.062,37404.612423687
2020-03-13,13.062,14.1938,13.062,13.062,9066.0729222932
2020-03-16,13.105,13.105,12.1472,12.3661,30913.153563448
2020-03-17,12.4521,13.4959,12.3661,12.713,14475.79633346
2020-03-18,13.062,13.8888,13.062,13.8448,3073.6351541308
2020-03-19,13.9338,15.1515,13.9338,15.0645,4314.3878065471
2020-03-20,14.8027,15.2395,13.9338,14.1067,7102.4196941436
2020-03-23,14.1938,14.9785,14.1938,14.7166,3563.2407539038
2020-03-24,15.1515,15.1515,14.1938,14.1938,2893.6946345561
2020-03-25,14.2817,14.2817,13.6718,14.2817,3732.7196153637
2020-03-26,13.6718,14.1938,13.6718,14.0197,1721.9889256975
2020-03-27,14.1498,14.1938,14.0197,14.1938,2856.0326653428
2020-03-30,14.4987,14.4987,13.7579,14.0197,3901.1523110122
2020-03-31,14.3687,14.4547,13.9338,14.1067,4291.3721586945
2020-04-01,14.1067,14.3246,13.9338,14.2817,454.0359621827
2020-04-02,14.2817,14.2817,13.8448,13.9338,1943.7760777315
2020-04-03,13.9338,14.0637,13.8028,13.9758,6692.3226960431
2020-04-06,13.9758,14.1067,13.8028,13.9758,4755.869778992
2020-04-07,14.0197,14.1498,13.8028,13.8888,16422.710908627
2020-04-08,13.8448,13.9338,13.6718,13.8448,6160.8704638108
2020-04-09,13.4959,13.9338,13.4959,13.9338,7631.7795947529
2020-04-14,13.9338,14.2817,13.9338,13.9338,28490.233544059
2020-04-15,14.4987,14.5416,14.0197,14.2367,9116.2888812443
2020-04-16,14.2817,14.6296,14.2817,14.4116,3018.1883661223
2020-04-17,14.6296,16.0233,14.4547,15.9353,14038.499024262
2020-04-20,16.0233,17.1561,15.9353,16.7631,16868.377544318
2020-04-21,16.7631,16.7631,15.5003,15.9794,6109.6083390483
2020-04-22,15.8044,16.1532,15.8044,16.0663,4111.4316391198
2020-04-23,16.1972,16.6321,16.1972,16.2833,2270.1798109135
2020-04-24,16.894,16.894,15.9353,16.0233,3061.081164393
2020-04-27,16.1532,16.5452,16.1532,16.5452,4467.1280150233
2020-04-28,16.6321,16.7182,16.4582,16.5452,3301.6993010336
2020-04-29,16.4582,16.5022,16.2833,16.5022,1619.4646761724
2020-04-30,16.3712,16.4582,16.2402,16.4582,4430.5122116215
2020-05-04,16.4582,16.6761,16.3712,16.5022,2446.9818330537
2020-05-05,16.5022,16.894,16.5022,16.894,2036.8848349532
2020-05-06,16.2402,16.7631,16.2402,16.5452,1554.6023958606
2020-05-07,16.2833,16.5452,16.2833,16.5452,545.05238778153
2020-05-08,16.4152,16.5452,16.4152,16.5022,490.65176558453
2020-05-11,16.5452,16.5452,16.2402,16.5452,3714.9347965686
2020-05-12,16.5452,16.894,16.5452,16.7631,7174.6051351358
2020-05-13,16.7182,16.8492,16.7182,16.8492,3729.5811179293
2020-05-14,16.6761,16.894,16.6761,16.7182,5155.5051189777
2020-05-15,16.894,16.894,16.6761,16.7182,2071.4083067321
2020-05-18,16.7631,16.8071,16.7182,16.7631,1239.7064866048
2020-05-19,16.6761,16.6761,16.4582,16.6321,707.20808856107
2020-05-20,16.7182,16.8071,16.7182,16.7631,1758.6047290993
2020-05-21,16.7182,16.7182,16.7182,16.7182,2251.3488263068
2020-05-22,16.7182,16.8071,16.5452,16.6761,1071.2737909564
2020-05-25,16.1532,16.7631,16.1103,16.5452,2202.1790331672
2020-05-26,16.5452,16.7182,16.4582,16.5452,8296.0948850433
2020-05-27,16.894,17.1111,16.5022,16.9371,15557.531782532
2020-05-28,16.9371,17.59,16.9371,17.241,6731.0308310679
2020-05-29,16.894,17.59,16.894,17.286,2847.6633388509
2020-06-01,17.4159,17.503,17.328,17.4159,4915.9331481486
2020-06-02,17.503,17.59,17.4159,17.59,9651.9257767225
2020-06-03,17.503,18.1128,17.503,17.8519,7272.944721415
2020-06-04,17.8519,17.9388,17.7638,17.9388,4114.5701365542
2020-06-05,17.9388,18.0249,17.503,17.6769,7222.7287624639
2020-06-08,17.9388,17.9388,17.6769,17.9388,7482.1778837112
2020-06-09,17.4159,17.9388,17.4159,17.9388,3402.1312189358
2020-06-10,17.8519,18.1998,17.8519,18.0249,10728.430396736
2020-06-12,17.241,17.9388,15.7614,17.7638,8230.18643892
2020-06-15,17.6769,17.6769,17.328,17.59,2551.5984142018
2020-06-16,17.7638,17.9388,17.59,17.7638,3180.3440669018
2020-06-17,17.6769,17.7638,17.59,17.6769,5174.3361035844
2020-06-18,17.7638,17.7638,17.59,17.7638,418.46632459235
2020-06-19,17.6769,18.0249,17.503,18.0249,2278.5491374053
2020-06-22,18.0249,18.1128,17.7638,17.9388,1483.4631206799
2020-06-23,17.9388,18.0249,17.9388,18.0249,1033.6118217431
2020-06-24,18.1998,18.1998,17.9388,18.1128,2143.5937477243
2020-06-25,17.9388,18.1998,17.9388,18.1128,1677.0037958038
2020-06-26,18.1128,18.1128,18.1128,18.1128,765.79337400399
2020-06-29,17.9388,18.1128,17.9388,18.1128,3872.9058341022
2020-06-30,18.1128,18.1998,17.9388,18.1128,4142.8166134642
2020-07-01,18.1128,18.1128,17.9388,17.9388,1419.6470061795
